service_id,date,exception_type
27_1094068,20230825,1
27_1094068,20230828,1
27_1094068,20230829,1
27_1094068,20230830,1
27_1094068,20230831,1
27_1094068,20230901,1
27_1094085,20230807,1
27_1094085,20230808,1
27_1094085,20230809,1
27_1094085,20230810,1
27_1094085,20230811,1
27_1094085,20230814,1
27_1094085,20230816,1
27_1094085,20230817,1
27_1094085,20230818,1
27_1094085,20230821,1
27_1094085,20230822,1
27_1094085,20230823,1
27_1094085,20230824,1
27_1094085,20230825,1
27_1094085,20230828,1
27_1094085,20230829,1
27_1094085,20230830,1
27_1094085,20230831,1
27_1094085,20230901,1
27_1094093,20230807,1
27_1094093,20230808,1
27_1094093,20230809,1
27_1094093,20230810,1
27_1094093,20230811,1
27_1094093,20230814,1
27_1094093,20230816,1
27_1094093,20230817,1
27_1094093,20230818,1
27_1094093,20230821,1
27_1094093,20230822,1
27_1094093,20230823,1
27_1094093,20230824,1
27_1094093,20230825,1
27_1094093,20230828,1
27_1094093,20230829,1
27_1094093,20230830,1
27_1094093,20230831,1
27_1094093,20230901,1
27_1094094,20230807,1
27_1094094,20230808,1
27_1094094,20230809,1
27_1094094,20230810,1
27_1094094,20230811,1
27_1094094,20230814,1
27_1094094,20230816,1
27_1094094,20230817,1
27_1094094,20230818,1
27_1094094,20230821,1
27_1094094,20230822,1
27_1094094,20230823,1
27_1094094,20230824,1
27_1094094,20230825,1
27_1094094,20230828,1
27_1094094,20230829,1
27_1094094,20230830,1
27_1094094,20230831,1
27_1094094,20230901,1
27_1094095,20230807,1
27_1094095,20230808,1
27_1094095,20230809,1
27_1094095,20230810,1
27_1094095,20230811,1
27_1094095,20230814,1
27_1094095,20230816,1
27_1094095,20230817,1
27_1094095,20230818,1
27_1094095,20230821,1
27_1094095,20230822,1
27_1094095,20230823,1
27_1094095,20230824,1
27_1094095,20230825,1
27_1094095,20230828,1
27_1094095,20230829,1
27_1094095,20230830,1
27_1094095,20230831,1
27_1094095,20230901,1
27_1094097,20230806,1
27_1094097,20230813,1
27_1094097,20230815,1
27_1094097,20230820,1
27_1094097,20230827,1
27_1094098,20230806,1
27_1094098,20230813,1
27_1094098,20230815,1
27_1094098,20230820,1
27_1094098,20230827,1
27_1094099,20230806,1
27_1094099,20230813,1
27_1094099,20230815,1
27_1094099,20230820,1
27_1094099,20230827,1
27_1094100,20230806,1
27_1094100,20230813,1
27_1094100,20230815,1
27_1094100,20230820,1
27_1094100,20230827,1
27_1094101,20230806,1
27_1094101,20230813,1
27_1094101,20230815,1
27_1094101,20230820,1
27_1094101,20230827,1
27_1094102,20230806,1
27_1094102,20230813,1
27_1094102,20230815,1
27_1094102,20230820,1
27_1094102,20230827,1
27_1094103,20230806,1
27_1094103,20230813,1
27_1094103,20230815,1
27_1094103,20230820,1
27_1094103,20230827,1
27_1094104,20230806,1
27_1094104,20230813,1
27_1094104,20230815,1
27_1094104,20230820,1
27_1094104,20230827,1
27_1094105,20230807,1
27_1094105,20230808,1
27_1094105,20230809,1
27_1094105,20230810,1
27_1094105,20230811,1
27_1094105,20230814,1
27_1094105,20230816,1
27_1094105,20230817,1
27_1094105,20230818,1
27_1094105,20230821,1
27_1094105,20230822,1
27_1094105,20230823,1
27_1094105,20230824,1
27_1094105,20230825,1
27_1094105,20230828,1
27_1094105,20230829,1
27_1094105,20230830,1
27_1094105,20230831,1
27_1094105,20230901,1
27_1094114,20230812,1
27_1094114,20230819,1
27_1094114,20230826,1
27_1094127,20230807,1
27_1094127,20230808,1
27_1094127,20230809,1
27_1094127,20230810,1
27_1094127,20230811,1
27_1094127,20230814,1
27_1094127,20230816,1
27_1094127,20230817,1
27_1094127,20230818,1
27_1094127,20230821,1
27_1094127,20230822,1
27_1094127,20230823,1
27_1094127,20230824,1
27_1094127,20230825,1
27_1094127,20230828,1
27_1094127,20230829,1
27_1094127,20230830,1
27_1094127,20230831,1
27_1094127,20230901,1
